ca,regime,famille,paquet,poids
3664500.00,1,NA,B,329.78
2931600.00,1,AR,B,329.78
732900.00,1,NA,B,329.78
2491860.00,3,CO,B,329.78
2931600.00,1,TR,B,329.78
29316000.00,3,CO,O,439.08
5863200.00,3,AR,A,488.78
18542370.00,3,CO,O,488.78
1282575.00,3,AR,B,545.79
439740.00,1,AR,B,488.78
781760.00,3,CO,B,488.78
302321.25,3,CO,B,488.78
6596100.00,1,TR,A,488.78
4543980.00,1,TR,B,488.78
916125.00,3,AR,B,267.44
7329000.00,3,NA,A,267.44
7390075.00,3,AR,A,267.44
4397400.00,1,NA,B,411.01
27483750.00,3,CO,O,267.44
8794800.00,3,AR,A,267.44
2198700.00,1,NA,B,411.01
2022804.00,3,NA,B,411.01
1172640.00,2,CO,B,267.44
5496750.00,3,AR,A,411.01
1172640.00,2,AR,B,432.35
1099350.00,3,NA,B,432.35
4192188.00,1,TR,B,432.35
4397400.00,1,TR,B,432.35
46905600.00,3,CO,Pl,432.35
16123800.00,2,CO,O,611.44
1099350.00,3,AR,B,611.44
7329000.00,2,CO,A,324.91
1465800.00,2,CO,B,324.91
586320.00,3,CO,B,324.91
586320.00,3,CO,B,324.91
8794800.00,1,NA,A,324.91
146580.00,3,AR,B,324.91
8648220.00,1,AR,A,895.73
513030.00,3,AR,B,895.73
9527700.00,2,CO,A,656.69
201547.50,3,CO,B,656.69
7329000.00,1,AR,A,656.69
12459300.00,3,CO,A,248.86
2565150.00,3,CO,B,248.86
1758960.00,1,TR,B,248.86
2491860.00,3,AR,B,360.03
5756929.50,1,NA,A,488.90
11550504.00,2,CO,A,488.90
3811080.00,1,AR,B,488.90
205212.00,3,AR,B,488.90
879480.00,1,TR,B,488.90
6596100.00,3,CO,A,559.70
1981761.60,3,AR,B,488.90
3591210.00,3,AR,B,488.90
7548870.00,3,CO,A,488.90
1099350.00,2,CO,B,488.90
1172640.00,3,AR,B,488.90
107492.00,1,AR,B,559.70
2198700.00,2,CO,B,559.70
2931600.00,3,AR,B,559.70
13218828.70,1,NA,A,559.70
1832250.00,3,CO,B,309.25
586320.00,3,CO,B,309.25
219870.00,3,AR,B,309.25
604642.50,3,CO,B,309.25
1832250.00,3,CO,B,309.25
38171.88,1,TR,B,309.25
732900.00,1,AR,B,309.25
2198700.00,1,NA,B,309.25
1410832.50,3,CO,B,309.25
1172640.00,1,AR,B,515.42
732900.00,1,AR,B,515.42
732900.00,2,CO,B,229.70
293160.00,3,CO,B,229.70
39576600.00,3,CO,Pl,229.70
1099350.00,3,CO,B,229.70
659610.00,1,NA,B,229.70
249186.00,3,AR,B,229.70
439740.00,1,AR,B,229.70
36645.00,1,AR,B,229.70
1758960.00,1,AR,B,229.70
549675.00,3,AR,B,229.70
3893531.25,3,AR,B,362.67
5423460.00,1,NA,A,362.67
542346.00,3,AR,B,362.67
10260600.00,3,AR,A,722.47
8794800.00,3,AR,A,817.07
2198700.00,1,NA,B,817.07
21987000.00,3,AR,O,817.07
4397400.00,2,CO,B,817.07
2198700.00,3,CO,B,817.07
366450.00,1,NA,B,817.07
146580.00,2,CO,B,722.47
3627855.00,3,AR,B,722.47
952770.00,3,CO,B,722.47
732900.00,1,NA,B,817.07
2565150.00,1,NA,B,722.47
4886000.00,3,AR,B,722.47
6478836.00,3,CO,A,722.47
9405550.00,3,AR,A,641.97
24185700.00,3,CO,O,641.97
2565150.00,3,CO,B,641.97
2931600.00,3,AR,B,1040.36
3781764.00,3,CO,B,1040.36
1465800.00,2,CO,B,858.35
2198700.00,3,CO,B,858.35
1539090.00,2,CO,B,858.35
2198700.00,3,CO,B,858.35
10993500.00,2,CO,A,858.35
3664500.00,3,AR,B,858.35
732900.00,3,AR,B,858.35
122150.00,3,AR,B,858.35
513030.00,2,CO,B,858.35
982086.00,3,AR,B,858.35
2198700.00,1,AR,B,858.35
3224760.00,2,CO,B,514.28
8794800.00,3,AR,A,839.01
2198700.00,3,CO,B,839.01
274837.50,3,CO,B,839.01
3224760.00,3,AR,B,839.01
2198700.00,1,TR,B,839.01
15803156.25,1,NA,O,436.27
2931600.00,3,CO,B,436.27
7153104.00,3,AR,A,436.27
14658000.00,1,NA,A,436.27
855050.00,3,CO,B,436.27
1319220.00,1,TR,B,633.88
586320.00,1,AR,B,633.88
1905540.00,1,NA,B,470.13
9527700.00,3,AR,A,470.13
10260600.00,3,AR,A,470.13
4397400.00,1,TR,B,470.13
1011402.00,2,CO,B,470.13
4275250.00,1,TR,B,470.13
7695450.00,2,CO,A,470.13
1649025.00,1,NA,B,470.13
2345280.00,2,CO,B,470.13
1099350.00,3,CO,B,577.75
1978830.00,2,CO,B,726.98
3298050.00,3,AR,B,726.98
146580.00,1,TR,B,532.04
2931600.00,3,CO,B,532.04
2198700.00,1,NA,B,532.04
5130300.00,3,AR,A,899.95
4397400.00,3,CO,B,887.22
2785020.00,1,AR,B,887.22
3847725.00,3,AR,B,899.95
10114020.00,1,NA,A,899.95
4397400.00,3,CO,B,620.49
641287.50,3,AR,B,620.49
3664500.00,1,AR,B,620.49
2565150.00,3,CO,B,620.49
659610.00,3,CO,B,620.49
1099350.00,1,NA,B,620.49
1465800.00,2,CO,B,1581.95
4763850.00,3,CO,B,751.43
1465800.00,3,AR,B,584.48
1282575.00,3,NA,B,584.48
32980500.00,3,AR,Pl,701.96
4397400.00,3,CO,B,701.96
1026060.00,1,TR,B,584.48
19544.00,2,CO,B,584.48
1817592.00,1,NA,B,584.48
586320.00,3,AR,B,584.48
19700352.00,3,CO,O,701.96
109935.00,3,AR,B,480.53
527688.00,1,NA,B,705.83
9395778.00,3,CO,A,480.53
1465800.00,3,AR,B,480.53
1026060.00,3,AR,B,480.53
2360915.20,1,AR,B,705.83
2110752.00,1,NA,B,705.83
61075.00,3,CO,B,705.83
1465800.00,2,CO,B,497.16
48860.00,1,NA,B,497.16
1465800.00,1,NA,B,497.16
23819250.00,3,AR,O,557.08
3517920.00,3,AR,B,557.08
2257332.00,3,CO,B,557.08
293160.00,3,AR,B,523.11
1612380.00,3,AR,B,523.11
237581.75,3,AR,B,523.11
1624595.00,3,AR,B,523.11
322476.00,3,CO,B,405.20
537460.00,3,CO,B,405.20
1710100.00,3,AR,B,405.20
1099350.00,3,AR,B,405.20
1282575.00,3,CO,B,405.20
5130300.00,2,CO,A,672.90
2565150.00,3,CO,B,672.90
4397400.00,1,NA,B,672.90
1004073.00,2,CO,B,672.90
2198700.00,3,AR,B,672.90
109935.00,2,CO,B,672.90
1099350.00,1,AR,B,672.90
513030.00,2,CO,B,672.90
2638440.00,3,CO,B,573.96
879480.00,2,CO,B,573.96
219870.00,3,CO,B,573.96
2931600.00,3,CO,B,573.96
2198700.00,1,NA,B,375.74
171010.00,2,CO,B,375.74
1465800.00,3,CO,B,375.74
2198700.00,1,TR,B,660.13
219870.00,2,CO,B,583.01
14584710.00,1,NA,A,583.01
9630306.00,2,CO,A,583.01
1905540.00,3,CO,B,583.01
2198700.00,2,CO,B,583.01
7329000.00,2,CO,A,583.01
3444630.00,1,NA,B,660.13
1789497.50,2,CO,B,660.13
879480.00,3,CO,B,1000.15
732900.00,1,NA,B,1000.15
513030.00,3,CO,B,1000.15
879480.00,3,AR,B,790.69
366450.00,3,AR,B,790.69
703584.00,1,AR,B,1000.15
2198700.00,3,CO,B,1000.15
366450.00,3,CO,B,1000.15
513030.00,1,AR,B,1000.15
1441370.00,2,CO,B,1426.64
1612380.00,2,CO,B,582.72
549675.00,3,CO,B,582.72
6596100.00,3,AR,A,582.72
1832250.00,3,CO,B,582.72
732900.00,3,CO,B,582.72
732900.00,1,AR,B,582.72
732900.00,3,CO,B,582.72
7695450.00,2,CO,A,582.72
213762.50,3,CO,B,582.72
249186.00,3,AR,B,582.72
329805.00,3,AR,B,882.63
1641696.00,3,AR,B,882.63
1099350.00,2,CO,B,516.90
732900.00,2,CO,B,516.90
732900.00,3,AR,B,516.90
855050.00,2,CO,B,516.90
2638440.00,3,CO,B,516.90
24185700.00,2,CO,O,516.90
586320.00,3,AR,B,516.90
1269382.80,3,AR,B,516.90
2462544.00,3,CO,B,516.90
21987000.00,1,NA,O,516.90
189332.50,3,AR,B,516.90
91612.50,3,AR,B,516.90
3664500.00,2,CO,B,882.63
879480.00,2,CO,B,633.76
25651500.00,3,CO,O,633.76
2638440.00,2,CO,B,633.76
3023212.50,3,CO,B,633.76
7035840.00,1,NA,A,633.76
1327770.50,3,AR,B,633.76
2286648.00,1,TR,B,633.76
4397400.00,3,AR,B,1428.52
274837.50,3,CO,B,1428.52
923454.00,3,CO,B,748.04
153909.00,3,AR,B,748.04
11726400.00,1,NA,A,748.04
659610.00,2,CO,B,748.04
5276880.00,1,TR,A,748.04
2667756.00,3,AR,B,748.04
586320.00,1,AR,B,748.04
3078180.00,2,CO,B,975.69
366450.00,3,CO,B,975.69
1172640.00,3,AR,B,632.98
1465800.00,1,NA,B,632.98
571662.00,1,NA,B,948.04
2931600.00,3,CO,B,632.98
11726400.00,1,NA,A,948.04
916125.00,3,AR,B,781.02
384772.50,3,AR,B,781.02
476385.00,1,AR,B,781.02
96193.12,3,CO,B,781.02
96193.12,3,CO,B,781.02
2198700.00,3,AR,B,781.02
213762.50,2,CO,B,781.02
25651.50,3,AR,B,781.02
25651.50,3,AR,B,781.02
1465800.00,2,CO,B,781.02
1099350.00,3,AR,B,781.02
2565150.00,1,TR,B,781.02
164902.50,3,CO,B,1389.33
1260588.00,3,AR,B,1389.33
586320.00,1,NA,B,1389.33
732900.00,2,CO,B,1389.33
1465800.00,3,AR,B,1389.33
4397400.00,3,AR,B,1389.33
1758960.00,2,CO,B,451.24
952770.00,2,CO,B,451.24
439740.00,1,AR,B,451.24
5452776.00,2,CO,A,451.24
30537.50,3,AR,B,451.24
2447886.00,3,AR,B,451.24
1084692.00,2,CO,B,675.07
2748375.00,2,CO,B,675.07
3664500.00,3,AR,B,451.24
3298050.00,3,AR,B,451.24
1524432.00,2,CO,B,451.24
366450.00,3,CO,B,872.33
615636.00,2,CO,B,872.33
427525.00,3,AR,B,872.33
813030.40,3,AR,B,872.33
916125.00,3,AR,B,872.33
549675.00,3,AR,B,872.33
246254.40,3,AR,B,872.33
5863200.00,2,CO,A,872.33
2198700.00,3,CO,B,872.33
439740.00,2,CO,B,2064.31
274837.50,3,NA,B,2064.31
3664500.00,2,CO,B,2064.31
2198700.00,2,CO,B,2064.31
659610.00,3,CO,B,2064.31
1258145.00,3,AR,B,2064.31
952770.00,2,CO,B,919.95
219870.00,1,AR,B,919.95
3517920.00,1,NA,B,919.95
87948.00,3,AR,B,919.95
5130300.00,3,AR,A,919.95
762216.00,2,CO,B,919.95
65961.00,2,CO,B,919.95
2609124.00,1,NA,B,919.95
513030.00,1,AR,B,919.95
1832250.00,2,CO,B,919.95
134365.00,1,AR,B,919.95
12532590.00,2,CO,A,919.95
1484122.50,3,AR,B,919.95
8794800.00,3,AR,A,919.95
1473129.00,3,AR,B,919.95
4397400.00,2,CO,B,919.95
1832250.00,3,NA,B,919.95
916125.00,3,CO,B,919.95
710913.00,3,CO,B,919.95
1099350.00,3,AR,B,919.95
439740.00,1,AR,B,2057.07
977200.00,3,AR,B,988.44
205212.00,3,AR,B,988.44
1099350.00,1,TR,B,687.66
11726400.00,3,AR,A,687.66
8135190.00,3,CO,A,687.66
20960940.00,3,AR,O,687.66
610750.00,3,CO,B,687.66
2198700.00,1,AR,B,988.44
1649025.00,3,CO,B,687.66
732900.00,3,CO,B,687.66
11726400.00,3,AR,A,988.44
1209285.00,3,AR,B,988.44
183225.00,3,CO,B,988.44
73290.00,3,AR,B,988.44
1099350.00,3,AR,B,988.44
1319220.00,2,CO,B,962.72
219870.00,3,AR,B,962.72
1319220.00,1,AR,B,962.72
1172640.00,2,CO,B,962.72
644952.00,2,CO,B,962.72
769545.00,3,AR,B,962.72
